force,decile,lsoas,crimes,pct_of_force_crime
Metropolitan Police Service,1,499,860020,36.69
Metropolitan Police Service,2,498,343731,14.66
Metropolitan Police Service,3,498,256432,10.94
Metropolitan Police Service,4,498,207985,8.87
Metropolitan Police Service,5,498,172690,7.37
Metropolitan Police Service,6,498,146484,6.25
Metropolitan Police Service,7,498,123421,5.26
Metropolitan Police Service,8,498,102168,4.36
Metropolitan Police Service,9,498,79694,3.40
Metropolitan Police Service,10,498,51600,2.20
West Midlands Police,1,172,225624,32.99
West Midlands Police,2,172,101241,14.81
West Midlands Police,3,172,79350,11.60
West Midlands Police,4,172,65994,9.65
West Midlands Police,5,172,55687,8.14
West Midlands Police,6,172,47319,6.92
West Midlands Police,7,172,39609,5.79
West Midlands Police,8,172,31565,4.62
West Midlands Police,9,172,23487,3.43
West Midlands Police,10,171,13945,2.04
