force,lsoa_code,lsoa_name,crimes,crime_rank,decile,pct_of_force_crime,cumulative_pct
Metropolitan Police Service,E01035716,Westminster 013G,28467,1,1,1.214,1.21
Metropolitan Police Service,E01004763,Westminster 013B,20659,2,1,0.881,2.10
Metropolitan Police Service,E01004734,Westminster 018A,19413,3,1,0.828,2.92
Metropolitan Police Service,E01004736,Westminster 018C,12742,4,1,0.544,3.47
Metropolitan Police Service,E01002444,Hillingdon 031A,12213,5,1,0.521,3.99
Metropolitan Police Service,E01004714,Westminster 011B,8940,6,1,0.381,4.37
Metropolitan Police Service,E01034220,Newham 039D,8432,7,1,0.360,4.73
Metropolitan Police Service,E01002968,Kingston upon Thames 009C,7509,8,1,0.320,5.05
Metropolitan Police Service,E01004735,Westminster 018B,7237,9,1,0.309,5.36
Metropolitan Police Service,E01004765,Westminster 013D,6603,10,1,0.282,5.64
Metropolitan Police Service,E01001943,Hammersmith and Fulham 004A,6129,11,1,0.261,5.90
Metropolitan Police Service,E01000919,Camden 028D,5815,12,1,0.248,6.15
Metropolitan Police Service,E01035711,Camden 026E,5243,13,1,0.224,6.37
Metropolitan Police Service,E01004761,Westminster 018D,5127,14,1,0.219,6.59
Metropolitan Police Service,E01000863,Camden 021A,5084,15,1,0.217,6.81
Metropolitan Police Service,E01003047,Lambeth 011B,5022,16,1,0.214,7.02
Metropolitan Police Service,E01003013,Lambeth 036A,4919,17,1,0.210,7.23
Metropolitan Police Service,E01035718,Westminster 019G,4900,18,1,0.209,7.44
Metropolitan Police Service,E01033708,Hackney 033C,4771,19,1,0.204,7.65
Metropolitan Police Service,E01003929,Southwark 002B,4608,20,1,0.197,7.84
Metropolitan Police Service,E01032582,Lambeth 036E,4366,21,1,0.186,8.03
Metropolitan Police Service,E01034030,Ealing 042A,4223,22,1,0.180,8.21
Metropolitan Police Service,E01002704,Islington 023D,3925,23,1,0.167,8.38
Metropolitan Police Service,E01004733,Westminster 020C,3794,24,1,0.162,8.54
Metropolitan Police Service,E01002129,Harrow 023C,3760,25,1,0.160,8.70
Metropolitan Police Service,E01004067,Southwark 022E,3712,26,1,0.158,8.86
Metropolitan Police Service,E01000914,Camden 028B,3698,27,1,0.158,9.01
Metropolitan Police Service,E01033083,Hounslow 018F,3686,28,1,0.157,9.17
Metropolitan Police Service,E01004731,Westminster 020A,3666,29,1,0.156,9.33
Metropolitan Police Service,E01000855,Camden 028A,3655,30,1,0.156,9.48
Metropolitan Police Service,E01001898,Hammersmith and Fulham 013C,3484,31,1,0.149,9.63
Metropolitan Police Service,E01002770,Islington 004B,3433,32,1,0.146,9.78
Metropolitan Police Service,E01000850,Camden 026A,3384,33,1,0.144,9.92
Metropolitan Police Service,E01004762,Westminster 011E,3320,34,1,0.142,10.06
Metropolitan Police Service,E01001361,Ealing 023E,3208,35,1,0.137,10.20
Metropolitan Police Service,E01000918,Camden 028C,3191,36,1,0.136,10.34
Metropolitan Police Service,E01002734,Islington 005B,3166,37,1,0.135,10.47
Metropolitan Police Service,E01003689,Redbridge 039C,3134,38,1,0.134,10.61
Metropolitan Police Service,E01034188,Greenwich 040A,3090,39,1,0.132,10.74
Metropolitan Police Service,E01001429,Enfield 030D,3087,40,1,0.132,10.87
Metropolitan Police Service,E01004750,Westminster 023E,3078,41,1,0.131,11.00
Metropolitan Police Service,E01032771,Tower Hamlets 033B,2975,42,1,0.127,11.13
Metropolitan Police Service,E01004397,Waltham Forest 017C,2963,43,1,0.126,11.25
Metropolitan Police Service,E01002029,Haringey 016B,2938,44,1,0.125,11.38
Metropolitan Police Service,E01002794,Islington 020B,2864,45,1,0.122,11.50
Metropolitan Police Service,E01033942,Brent 035D,2856,46,1,0.122,11.62
Metropolitan Police Service,E01002521,Hillingdon 016C,2845,47,1,0.121,11.75
Metropolitan Police Service,E01002356,Havering 013C,2761,48,1,0.118,11.86
Metropolitan Police Service,E01003521,Newham 018B,2643,49,1,0.113,11.98
