force,month,outcome_group,crimes,pct_of_month
Metropolitan Police Service,2024-04-01,Charged or court process,3268,4.54
Metropolitan Police Service,2024-04-01,Closed: not in the public interest,279,0.39
Metropolitan Police Service,2024-04-01,No suspect identified,43765,60.86
Metropolitan Police Service,2024-04-01,Out-of-court resolution,2026,2.82
Metropolitan Police Service,2024-04-01,Still in progress / no update,1857,2.58
Metropolitan Police Service,2024-04-01,"Suspect known, unable to prosecute",20712,28.80
Metropolitan Police Service,2024-05-01,Charged or court process,3618,4.83
Metropolitan Police Service,2024-05-01,Closed: not in the public interest,321,0.43
Metropolitan Police Service,2024-05-01,No suspect identified,44027,58.74
Metropolitan Police Service,2024-05-01,Out-of-court resolution,2360,3.15
Metropolitan Police Service,2024-05-01,Still in progress / no update,2445,3.26
Metropolitan Police Service,2024-05-01,"Suspect known, unable to prosecute",22182,29.59
Metropolitan Police Service,2024-06-01,Charged or court process,3431,4.59
Metropolitan Police Service,2024-06-01,Closed: not in the public interest,241,0.32
Metropolitan Police Service,2024-06-01,No suspect identified,44966,60.15
Metropolitan Police Service,2024-06-01,Out-of-court resolution,2449,3.28
Metropolitan Police Service,2024-06-01,Still in progress / no update,1953,2.61
Metropolitan Police Service,2024-06-01,"Suspect known, unable to prosecute",21716,29.05
Metropolitan Police Service,2024-07-01,Charged or court process,3900,5.02
Metropolitan Police Service,2024-07-01,Closed: not in the public interest,302,0.39
Metropolitan Police Service,2024-07-01,No suspect identified,46348,59.62
Metropolitan Police Service,2024-07-01,Out-of-court resolution,2360,3.04
Metropolitan Police Service,2024-07-01,Still in progress / no update,1969,2.53
Metropolitan Police Service,2024-07-01,"Suspect known, unable to prosecute",22855,29.40
Metropolitan Police Service,2024-08-01,Charged or court process,3883,5.15
Metropolitan Police Service,2024-08-01,Closed: not in the public interest,394,0.52
Metropolitan Police Service,2024-08-01,No suspect identified,45334,60.15
Metropolitan Police Service,2024-08-01,Out-of-court resolution,2372,3.15
Metropolitan Police Service,2024-08-01,Still in progress / no update,1733,2.30
Metropolitan Police Service,2024-08-01,"Suspect known, unable to prosecute",21652,28.73
Metropolitan Police Service,2024-09-01,Charged or court process,3649,4.89
Metropolitan Police Service,2024-09-01,Closed: not in the public interest,237,0.32
Metropolitan Police Service,2024-09-01,No suspect identified,43675,58.57
Metropolitan Police Service,2024-09-01,Out-of-court resolution,2538,3.40
Metropolitan Police Service,2024-09-01,Still in progress / no update,2002,2.68
Metropolitan Police Service,2024-09-01,"Suspect known, unable to prosecute",22471,30.13
Metropolitan Police Service,2024-10-01,Charged or court process,2866,3.56
Metropolitan Police Service,2024-10-01,Closed: not in the public interest,190,0.24
Metropolitan Police Service,2024-10-01,No suspect identified,36629,45.53
Metropolitan Police Service,2024-10-01,Out-of-court resolution,2266,2.82
Metropolitan Police Service,2024-10-01,Still in progress / no update,20939,26.03
Metropolitan Police Service,2024-10-01,"Suspect known, unable to prosecute",17565,21.83
Metropolitan Police Service,2024-11-01,Charged or court process,3837,4.81
Metropolitan Police Service,2024-11-01,Closed: not in the public interest,218,0.27
Metropolitan Police Service,2024-11-01,No suspect identified,48606,60.98
Metropolitan Police Service,2024-11-01,Out-of-court resolution,2899,3.64
