force,calendar_month,month_name,avg_pct_of_year,avg_crimes
Metropolitan Police Service,1,Jan,7.65,86582
Metropolitan Police Service,2,Feb,7.41,83888
Metropolitan Police Service,3,Mar,8.20,92864
Metropolitan Police Service,4,Apr,8.13,92067
Metropolitan Police Service,5,May,8.68,98231
Metropolitan Police Service,6,Jun,8.70,98474
Metropolitan Police Service,7,Jul,9.11,103073
Metropolitan Police Service,8,Aug,8.65,97869
Metropolitan Police Service,9,Sep,8.25,93355
Metropolitan Police Service,10,Oct,8.78,99383
Metropolitan Police Service,11,Nov,8.47,95851
Metropolitan Police Service,12,Dec,8.02,90732
West Midlands Police,1,Jan,7.62,24971
West Midlands Police,2,Feb,7.38,24204
West Midlands Police,3,Mar,8.41,27579
West Midlands Police,4,Apr,8.22,26956
West Midlands Police,5,May,9.04,29665
West Midlands Police,6,Jun,8.94,29287
West Midlands Police,7,Jul,9.27,30414
West Midlands Police,8,Aug,8.61,28246
West Midlands Police,9,Sep,8.34,27351
West Midlands Police,10,Oct,8.55,28043
West Midlands Police,11,Nov,7.99,26193
West Midlands Police,12,Dec,7.64,25038
